vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to,url,price
BritishStandard,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,300x m30 oxycodone mallinckrodt pharmaceuticals,"1,021.82",United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/300x-m30-oxycodone-mallinckrodt-pharmaceuticals,1021.0
ozconnection,Drugs and Chemicals,Benzos,Pills,Pills,*HIGH QUALITY* 50 Xanax 2mg Alprazolam AUSTRALIA,200.00,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/high-quality-50-xanax-2mg-alprazolam-australia-1,200.0
RXChemist,Drugs and Chemicals,,,Drugs and Chemicals,Etizolam 3mg In Blister Top Quality 180 Pills,499.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/etizolam-3mg-in-blister-top-quality-180-pills,499.0
Cocadile,Drugs and Chemicals,,,Drugs and Chemicals,28g Bolivian Cocaine,"5,736.27",Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-bolivian-cocaine-1,5736.0
DutchDrugz,Drugs and Chemicals,Dissociatives,GHB,GHB,100 ML GHB Vials || Dutch Quality GHB,143.20,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100-ml-ghb-vials-dutch-quality-ghb,143.0
MedicineMan420,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,14G Spumoni *SPECIAL*,194.63,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14g-spumoni-special,195.0
RealNarcotiks3,Drugs and Chemicals,Benzos,Pills,Pills,400 XANAX PILLS 2 MG,439.95,,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/400-xanax-pills-2-mg,440.0
bestgroup,Drugs and Chemicals,Steroids,,Steroids,Ligandrol (Lgd 4033) 100ml 20mg/ml,146.00,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/ligandrol-lgd-4033-100ml-20mgml,146.0
kamagra4bitcoin,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,"Sildamax 100 mg x 100 pills, 10 blisters",53.70,,"Europe, United States",http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/sildamax-100-mg-x-100-pills-10-blisters,54.0
rainbowland,Drugs and Chemicals,,,Drugs and Chemicals,100 GRAMS SUGAR KETAMINE,"1,551.29",Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100-grams-sugar-ketamine,1551.0
megadrug3,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,Pound of Psilocybe semilanceata (Liberty Caps),"1,000.00",United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/pound-of-psilocybe-semilanceata-liberty-caps,1000.0
akgeneric,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Xanax ksalol (alprazolam) 1mg 30 Tablets,30.00,Greece,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xanax-ksalol-alprazolam-1mg-30-tablets,30.0
DutchGlory,Drugs and Chemicals,Stimulants,Crack,Crack,★  5 GR ★ Grams - Pure Colombian Crack Cocaine 89%,357.99,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-gr-grams-pure-colombian-crack-cocaine-89,358.0
drkend,Drugs and Chemicals,,,Drugs and Chemicals,Buy CHM-SGT-151 Online (100g),"1,700.00",Canada,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/buy-chm-sgt-151-online-100g,1700.0
JOYinc,Drugs and Chemicals,Stimulants,Meth,Meth,2G Crystal Meth A++ Methamphetamine,70.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-crystal-meth-a-methamphetamine,70.0
drkend,Drugs and Chemicals,,,Drugs and Chemicals,2C-B Research Chemical For Sale Online,500.00,Canada,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2c-b-research-chemical-for-sale-online,500.0
SmartStore,Drugs and Chemicals,Benzos,Pills,Pills,Rivotril (Clonazepam from Galenika)-200 tabs x 2mg,105.01,Hong Kong,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/rivotril-clonazepam-from-galenika-200-tabs-x-2mg,105.0
SteroidWarehouse,Drugs and Chemicals,Steroids,,Steroids,(Growth Hormone) Evogene - 100 iu – exp. 01/2023,238.66,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/growth-hormone-evogene-100-iu-exp-012023,239.0
HappyChef,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,40g RAW DISTILLATE,220.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/40g-raw-distillate,220.0
XANAXDIRECT,Drugs and Chemicals,Benzos,Pills,Pills,"10MG VALIUM, SLOW RELEASE (DIAZEPAM)",1.25,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10mg-valium-slow-release-diazepam,1.0
PostNL,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,2 grams High Quality Cocaine [90%],118.14,Netherlands,Netherlands,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2-grams-high-quality-cocaine-90-1,118.0
WeedHunter1312,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,! 1G - 10€ SUPER LEMON HAZE -HIGH THC-,11.93,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-10-super-lemon-haze-high-thc,12.0
CocaKoala,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,28g Bolivian Cocaine (Grade 2),"5,579.69",Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-bolivian-cocaine-grade-2,5579.0
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,2g - Kosher Kush HQ NDD UK2UK,27.80,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-kosher-kush-hq-ndd-uk2uk,28.0
Cannabuds,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,Quarter Pound Sugar Wax AAA Indoor OG Kush!,"1,390.00",United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/quarter-pound-sugar-wax-aaa-indoor-og-kush,1390.0
thelab1,Drugs and Chemicals,Steroids,,Steroids,Oxandrolone (Anavar)  RAW Powder - 100g,"1,200.00",China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/oxandrolone-anavar-raw-powder-100g,1200.0
Medicalking007,Drugs and Chemicals,Opiates,,Opiates,Methadone Sandoz/apotex 10mg 100 pills 190 euro,214.79,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/methadone-sandozapotex-10mg-100-pills-190-euro,215.0
TheBodyShop,Drugs and Chemicals,Steroids,,Steroids,TESTOSTERONE Cernos gel 5g 14 punches,37.00,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/testosterone-cernos-gel-5g-14-punches,37.0
TheIcePrincess,Drugs and Chemicals,Opiates,Heroin,Heroin,3G FIRE HEROIN  #4,650.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/3g-fire-heroin-4,650.0
PartyKingz,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,50g Pure Indian Sugar Ketamine S-ISOMER,"1,000.00",Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50g-pure-indian-sugar-ketamine-s-isomer,1000.0
WA2018,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,QP/113g Granddaddy Purple (GDP) AAA+ INDOOR WEED,520.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/qp113g-granddaddy-purple-gdp-aaa-indoor-weed,520.0
PitStopUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,28g White Runtz REAL CALI IMPORT - UK,695.11,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-white-runtz-real-cali-import-uk,695.0
NewAmsterdam,Drugs and Chemicals,Stimulants,Meth,Meth,10GR - CRYSTAL METH SHARDS - SUPER STRONG ICE,298.32,Netherlands,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10gr-crystal-meth-shards-super-strong-ice,298.0
bighorndodge,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,3.5 Grams Pure Cocaine Right Off The Brick,250.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35-grams-pure-cocaine-right-off-the-brick,250.0
rxsub,Drugs and Chemicals,Opiates,,Opiates,10x Suboxone 8MG/2MG Film,175.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10x-suboxone-8mg2mg-film,175.0
PengBudsUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,14g Blue Dream - UK-UK (1/2 oz Listing),166.83,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14g-blue-dream-uk-uk-12-oz-listing,167.0
bulkbars,Drugs and Chemicals,Benzos,,Benzos,XANAX 3MG HULKS S903 X1000 BARS USA-USA,650.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xanax-3mg-hulks-s903-x1000-bars-usa-usa,650.0
themushrooman,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,28g Magic Mushrooms - Psilocybe Cubensis,387.59,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-magic-mushrooms-psilocybe-cubensis,388.0
heromeister,Drugs and Chemicals,Opiates,Heroin,Heroin,"1g no3 afghan heroin, super high quality",47.73,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-no3-afghan-heroin-super-high-quality,48.0
drugsincuk,Drugs and Chemicals,,,Drugs and Chemicals,AFGHAN KUSH 3.5 grams,48.66,,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/afghan-kush-35-grams,49.0
bestgroup,Drugs and Chemicals,Steroids,,Steroids,DIANABOL 25 MG/CAPSULE MONSTERLAB,35.00,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/dianabol-25-mgcapsule-monsterlab,35.0
RS7,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,**(7.5G)** Pure Colombian Cocaine (UNCUT),536.98,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/75g-pure-colombian-cocaine-uncut,537.0
SmartStore,Drugs and Chemicals,Weight Loss,,Weight Loss,Ephedrine Hydrochloride 100 tablets x 20 mg,83.53,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/ephedrine-hydrochloride-100-tablets-x-20-mg,84.0
Hasbro,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,5GR - UNCUT COCAINE - COLUMBIAN FISHSCALE,357.99,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5gr-uncut-cocaine-columbian-fishscale,358.0
THEPOSTMAN,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,STRAWBERRY HAZE HASH CRITICAL A GRADE 3.5G **FREE,45.88,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/strawberry-haze-hash-critical-a-grade-35g-free,46.0
ONEMILLION,Drugs and Chemicals,Ecstasy,MDMA,MDMA,500 GR - Pure Dutch White MDMA 90%+ [AAA+],"3,878.22",Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/500-gr-pure-dutch-white-mdma-90-aaa,3878.0
gbmessicocaine,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,- 5 gram -STRONG SOCIABLE COCAINE COMES AS ROCK,278.05,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-gram-strong-sociable-cocaine-comes-as-rock,278.0
ScotchAndCoca,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,5 gram Ketamine needles (84%),106.20,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-gram-ketamine-needles-84,106.0
PSteroids,Drugs and Chemicals,Steroids,,Steroids,Exemestane 250 / Aromasin 25mg/30tabs Hilma Bio,42.65,Lithuania,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/exemestane-250-aromasin-25mg30tabs-hilma-bio,43.0
PlanetHollywood,Drugs and Chemicals,Ecstasy,MDMA,MDMA,7g DUTCH MOONROCKS MDMA,250.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7g-dutch-moonrocks-mdma,250.0
BritishStandard,Drugs and Chemicals,Benzos,Pills,Pills,4000x 3mg R039 xanax Actavis Pharmaceuticals,"1,334.62",United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/4000x-3mg-r039-xanax-actavis-pharmaceuticals,1334.0
RS7,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,**(2.5G)** Pure Colombian Cocaine (UNCUT),178.99,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25g-pure-colombian-cocaine-uncut,179.0
DrSeuss,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,250 Grams Of Pineapple Trainwreck A+++ NDDuk,"2,134.00",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/250-grams-of-pineapple-trainwreck-a-ndduk,2134.0
Mont-Blanc,Drugs and Chemicals,Stimulants,Meth,Meth,50 gram ICE | Methamphetamine 96%+ purity shards,"1,545.32",Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50-gram-ice-methamphetamine-96-purity-shards,1545.0
drugsukstore,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,3.5g STARDAWG CALI GRADE WEED,55.61,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35g-stardawg-cali-grade-weed,56.0
ICEGOD,Drugs and Chemicals,Stimulants,Meth,Meth,14G CRYSTAL METH by ICEGOD,400.00,Canada,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14g-crystal-meth-by-icegod,400.0
DutchGlory,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,5  Gr Crystal Ketamine  S + 89%]Free WW-Shipping,119.33,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-gr-crystal-ketamine-s-89free-ww-shipping-1,119.0
FedEx,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,••(2G)•• High Quality Cocaine (90%),119.33,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-high-quality-cocaine-90,119.0
ChuckNorrisTeam,Drugs and Chemicals,,,Drugs and Chemicals,100G Turk Hashish Light to medium/Low Quality 2/5,236.34,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100g-turk-hashish-light-to-mediumlow-quality-25,236.0
RoyalMailer,Drugs and Chemicals,Ecstasy,Pills,Pills,1x Blue Punisher XTC 270mg IMPORT - UK,1.39,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1x-blue-punisher-xtc-270mg-import-uk,1.0
ShroomKingUK,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,Very Potent Hash Chocolate Bar Edibles 140mg /6 sq,21.06,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/very-potent-hash-chocolate-bar-edibles-140mg-6-sq,21.0
DigitalDelight,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,3G HIGH QUALITY COCAINE | USA TO USA | NL IMPORT!,360.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/3g-high-quality-cocaine-usa-to-usa-nl-import,360.0
RoleXx17,Drugs and Chemicals,Psychedelics,LSD,LSD,25 X LSD 250UG ALBERT HOFMANN NEEDLEPOINT BLOTTERS,110.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25-x-lsd-250ug-albert-hofmann-needlepoint-blotters-1,110.0
ThreeKings,Drugs and Chemicals,Steroids,,Steroids,Boldenone Undecylenate 250mg/ml 10ml,28.64,Latvia,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/boldenone-undecylenate-250mgml-10ml,29.0
DmtTimes,Drugs and Chemicals,Psychedelics,DMT,DMT,3.5 Grams Changa DMT - CHACRUNA SUNSHINE,215.48,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35-grams-changa-dmt-chacruna-sunshine,215.0
PenileFractures,Drugs and Chemicals,Ecstasy,MDMA,MDMA,7g Canadian MDA,122.72,Canada,Canada,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7g-canadian-mda-1,123.0
MethadMan,Drugs and Chemicals,Opiates,,Opiates,5x Subutex (Buprenorphine HCL) 8mg tablet,77.56,France,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5x-subutex-buprenorphine-hcl-8mg-tablet,78.0
FriendlyFarms,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,$600 - 224g Golden Teachers,600.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/600-224g-golden-teachers,600.0
ScotchAndCoca,Drugs and Chemicals,Stimulants,Meth,Meth,250 gram Crystal Meth (98%),"5,249.33",Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/250-gram-crystal-meth-98,5249.0
LaMadrina,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1G WEED HQ INDOOR,17.90,France,France,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-weed-hq-indoor,18.0
DopeNL,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,25Gram Pure AAA+ Cocaine 90%+,"1,789.95",Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25gram-pure-aaa-cocaine-90,1789.0
CanadianSmoker12,Drugs and Chemicals,,,Drugs and Chemicals,FRESH FL FULLZ + DL,30.00,,,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/fresh-fl-fullz-dl,30.0
WeedShopHulk,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,2G Pakistanais Chitral Kush!!,23.87,France,France,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-pakistanais-chitral-kush,24.0
himalayanblues,Drugs and Chemicals,Psychedelics,LSD,LSD,1 tab of Needle Point LSD dosed at 100 ug 99% pure,10.00,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-tab-of-needle-point-lsd-dosed-at-100-ug-99-pure,10.0
richhigh999,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,Oxycodone Percocet 10/325mg 28 pills,350.00,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/oxycodone-percocet-10325mg-28-pills,350.0
LucySkyDiamonds,Drugs and Chemicals,Psychedelics,LSD,LSD,10 Ghostbusters LSD tab 350 micro grams,80.00,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10-ghostbusters-lsd-tab-350-micro-grams,80.0
ezinpharma,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,3.5g BOLIVIAN BRICK COCAINE.... UK - UK,270.00,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35g-bolivian-brick-cocaine-uk-uk,270.0
original_kimono,Drugs and Chemicals,Cannabis & Hash,Topical,Topical,1x Topical *BUD RUB* THC Medicated Muscle Balm *VE,27.79,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1x-topical-bud-rub-thc-medicated-muscle-balm-ve,28.0
Epharma,Drugs and Chemicals,Stimulants,Adderal,Adderal,10 TABS DEXAMPHETAMINE 10MG,104.27,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10-tabs-dexamphetamine-10mg,104.0
donalddrugs,Drugs and Chemicals,Stimulants,Speed,Speed,10g 72% speed paste welcome offer+gift,35.80,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10g-72-speed-paste-welcome-offergift,36.0
StrainPirate,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,10g Girl Scout Cookies Crumble,218.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10g-girl-scout-cookies-crumble,218.0
ElizabethQueen2,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,7g Kandy Kush ****ElizabethQueen2**** Fire Quality,69.51,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7g-kandy-kush-elizabethqueen2-fire-quality,70.0
GrowersOasis,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,Hybrid Penis Envy/GCT    3.5g Eighth,25.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/hybrid-penis-envygct-35g-eighth,25.0
DrSeuss,Drugs and Chemicals,,,Drugs and Chemicals,250g best mdma european import high purity crystal,"2,189.61",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/250g-best-mdma-european-import-high-purity-crystal,2189.0
TonysDrugsStore,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Royal Kush 7 gram,82.02,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/royal-kush-7-gram,82.0
PitStopUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,56g Omega Dawg AAA++ - UK,542.19,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/56g-omega-dawg-aaa-uk,542.0
PitStopUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,3.5g Sour Diesel AAA++ - UK,38.23,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35g-sour-diesel-aaa-uk,38.0
akgeneric,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,HIV  TIVICAY (dolutegravir) 50mg 30 tablets,150.00,India,"United Kingdom, United States",http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/hiv-tivicay-dolutegravir-50mg-30-tablets,150.0
