vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to,url,price
WVANORANJE,Drugs and Chemicals,,,Drugs and Chemicals,HQ SPEED PASTE (83%),0.72,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/hq-speed-paste-83,1.0
WVANORANJE,Drugs and Chemicals,,,Drugs and Chemicals,Colombian Coke Uncut (92%),0.60,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/colombian-coke-uncut-92,1.0
WVANORANJE,Drugs and Chemicals,Ecstasy,MDMA,MDMA,DUTCH MDMA CHAMPAGNE,0.95,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/dutch-mdma-champagne,1.0
WVANORANJE,Drugs and Chemicals,,,Drugs and Chemicals,[280MG] TEKASHI  6IX9INE XTC PILLS,0.72,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/280mg-tekashi-6ix9ine-xtc-pills,1.0
WVANORANJE,Drugs and Chemicals,Psychedelics,LSD,LSD,LSD- 260 UG,0.60,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/lsd-260-ug,1.0
charching187,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,£180 2G HQ COLOMBIAN COCAINE FREE POST NDD,240.00,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/180-2g-hq-colombian-cocaine-free-post-ndd,240.0
charching187,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,£500 7G HQ COLOMBIAN COCAINE FREE POST NDD,642.00,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/500-7g-hq-colombian-cocaine-free-post-ndd,642.0
charching187,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,£140 1.5G HQ COLOMBIAN COCAINE FREE POST NDD,186.00,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/140-15g-hq-colombian-cocaine-free-post-ndd,186.0
charching187,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,£50 0.5 HQ COLOMBIAN COCAINE FREE POST NDD,66.00,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50-05-hq-colombian-cocaine-free-post-ndd,66.0
charching187,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,£300 3.5G HQ COLOMBIAN COCAINE FREE POST NDD,400.00,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/300-35g-hq-colombian-cocaine-free-post-ndd,400.0
charching187,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,£100 1G HQ COLOMBIAN COCAINE FREE POST NDD,130.00,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100-1g-hq-colombian-cocaine-free-post-ndd,130.0
fastdrugsusa,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,"1oz TOP SHELF, HOMEGOROWN ""GECKO STYLE"" 70%I/30%S",99.00,United States,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1oz-top-shelf-homegorown-gecko-style-70i30s,99.0
fastdrugsusa,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,"1oz TOP SHELF, HOMEGOROWN ""LEMON BROWNIE"" 70%S/30%",99.00,United States,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1oz-top-shelf-homegorown-lemon-brownie-70s30,99.0
fastdrugsusa,Drugs and Chemicals,Opiates,RC,RC,500mg Isotonitazene (like Fentanyl) NEW Opioid!!,45.00,United States,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/500mg-isotonitazene-like-fentanyl-new-opioid,45.0
fastdrugsusa,Drugs and Chemicals,,,Drugs and Chemicals,"1 G PREMIUM BUTTER 69%+ GUARANTEED, FREE SHIPPING",29.00,,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-g-premium-butter-69-guaranteed-free-shipping,29.0
fastdrugsusa,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,"Clonidine HCL 0.1mg, Withdrawal Med, SHIPS FAST!!",3.00,United States,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/clonidine-hcl-01mg-withdrawal-med-ships-fast,3.0
fastdrugsusa,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Mirtazapine (Remeron) 15mg Tablets Pharmacy Fresh,2.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/mirtazapine-remeron-15mg-tablets-pharmacy-fresh,2.0
fastdrugsusa,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Mirtazapine (Remeron) 30mg Tablets PHARMACY FRESH!,4.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/mirtazapine-remeron-30mg-tablets-pharmacy-fresh,4.0
fastdrugsusa,Drugs and Chemicals,,,Drugs and Chemicals,"1 G PREMIUM SHATTER 79%+ GUARANTEED, FREE SHIPPING",29.00,,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-g-premium-shatter-79-guaranteed-free-shipping,29.0
fastdrugsusa,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,"1oz TOP SHELF, HOMEGOROWN ""LEMON DROP"" 70%S/30%I",180.00,United States,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1oz-top-shelf-homegorown-lemon-drop-70s30i,180.0
fastdrugsusa,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,$99/oz of HIGH QUALITY BIG BROWN BUDS (hyrbid),99.00,United States,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/99oz-of-high-quality-big-brown-buds-hyrbid,99.0
fastdrugsusa,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,"14g of TOP SHELF, HOMEGOROWN ""CORNBREAD"" 60%I/40%",48.00,United States,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14g-of-top-shelf-homegorown-cornbread-60i40,48.0
fastdrugsusa,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,"Zofran/Ondansetron Tablet 4mg, Anti-Nausea! WORKS!",4.00,United States,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/zofranondansetron-tablet-4mg-anti-nausea-works,4.0
topshopuk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,7g UNCUT BOLIVIAN COCAINE,590.85,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7g-uncut-bolivian-cocaine,591.0
topshopuk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,0.2g UNCUT BOLIVIAN COCAINE,27.80,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/02g-uncut-bolivian-cocaine,28.0
topshopuk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,28g UNCUT BOLIVIAN COCAINE,"2,224.36",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-uncut-bolivian-cocaine,2224.0
topshopuk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1g UNCUT BOLIVIAN COCAINE,111.22,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-uncut-bolivian-cocaine,111.0
topshopuk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,2g UNCUT BOLIVIAN COCAINE,208.53,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-uncut-bolivian-cocaine,209.0
topshopuk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,56g UNCUT BOLIVIAN COCAINE,"4,170.68",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/56g-uncut-bolivian-cocaine,4170.0
topshopuk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,14g UNCUT BOLIVIAN COCAINE,"1,146.94",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14g-uncut-bolivian-cocaine,1146.0
topshopuk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,3.5g UNCUT BOLIVIAN COCAINE,326.70,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35g-uncut-bolivian-cocaine,327.0
topshopuk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,0.5g UNCUT BOLIVIAN COCAINE,55.61,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/05g-uncut-bolivian-cocaine,56.0
royalfam,Drugs and Chemicals,Ecstasy,MDMA,MDMA,🇺🇸56g platinum euro mdma🇺🇸,"1,500.00",United States,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/56g-platinum-euro-mdma,1500.0
royalfam,Drugs and Chemicals,Benzos,Pills,Pills,🇺🇸5000x xanax bars🇺🇸,"4,500.00",United States,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5000x-xanax-bars,4500.0
royalfam,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,🇺🇸0.1g peruvian flake🇺🇸,10.00,United States,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/01g-peruvian-flake,10.0
MarysCannabis,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1 gram UNCUT COLUMBIAN COCAINE,125.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-gram-uncut-columbian-cocaine,125.0
