vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to
mythbusters,Drugs and Chemicals,Ecstasy,Pills,Pills,1.000x XTC: ShyGuy 270mg,150.42,Germany,Worldwide
strongmedicine,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Lemongrass - Ounce (OZ),125.00,United States,United States
CocoParis,Drugs and Chemicals,Opiates,Heroin,Heroin,24G HEROIN QUALITY AAAAAA++++ SENT -6H 520 EUR,629.70,France,France
NightlifeKings,Drugs and Chemicals,Stimulants,Speed,Speed,2.5 Grams PURE Amphetamine Speed Powder,42.38,Germany,Worldwide
Dimma,Drugs and Chemicals,Stimulants,Crack,Crack,1.8Gram Crack Cocaine Straight Drop,225.83,United Kingdom,Worldwide
ScotchAndCoca,Drugs and Chemicals,Benzos,Pills,Pills,250x Alprazolam Xanax 2mg,333.02,Netherlands,Worldwide
AlphaGear,Drugs and Chemicals,Steroids,,Steroids,Dark Alien HGH 300iu Growth Hormone SAVE $110,580.00,United States,United States
mouquetfarm,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,Magic Mushroom microdose capsules 125mg BULK PACK,173.42,Australia,Australia
packflipper,Drugs and Chemicals,Stimulants,Meth,Meth,(3) Grams Crystal Meth.,175.00,United States,United States
Medicalking007,Drugs and Chemicals,Opiates,,Opiates,Methadone Sandoz/apotex 20mg 50 pills 160 euro,193.75,Germany,Worldwide
drugshub,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,1Kg 'KETAMINE'  HQ DUTCH S-Isomer Needle-KETA,137.08,Netherlands,Worldwide
UKgradeAproducts,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,10 x Ps.Cyanescens Mushroom Microdose Capsules,17.64,United Kingdom,Worldwide
greendream69,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1g  COOKIES KUSH - THC - Weed,10.90,Germany,Germany
AussieMD22,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,7 grams Organic Northern Lights no PGRs used,92.49,Australia,Australia
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,1x Apple Twist THC Vape Juice 10ml - UK,56.46,United Kingdom,Worldwide
kandykones,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,SPECIAL OFFER - 1000g Cali Import Lemon Haze - UK,327.32,United Kingdom,United Kingdom
NightlifeKings,Drugs and Chemicals,Stimulants,Speed,Speed,1 Gram PURE Amphetamine Speed Paste,10.90,Germany,Worldwide
EUROSHOPPER,Drugs and Chemicals,Ecstasy,,Ecstasy,100x XTC - RED SKITTLES - 180MG MDMA,193.75,Germany,Europe
El-Chapo,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,1x Strawberry Kush - 10ml THC Vape Liquid UK to UK,63.51,United Kingdom,Worldwide
topmoneymaker,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Gods Gift 8 oz,950.00,United States,United States
FrankMatthews,Drugs and Chemicals,Ecstasy,MDMA,MDMA,MDMA Champagne Rocks -100gr-,581.26,Germany,Europe
ScotchAndCoca,Drugs and Chemicals,Stimulants,Meth,Meth,0.5 gram Crystal Meth (98%),30.27,Netherlands,Worldwide
KingofDrugs,Drugs and Chemicals,,,Drugs and Chemicals,Stardawg UK 14 gram,105.86,United Kingdom,United Kingdom
SteroidWarehouse,Drugs and Chemicals,Steroids,,Steroids,Follistatin 344 – 1 mg – Bio-Peptide– exp. 07/2021,30.27,Netherlands,Worldwide
Everylittlehalps,Drugs and Chemicals,Ecstasy,Pills,Pills,25 X Ecstasy Pills 280mg-300mg XTC |Dutch Import|,148.20,United Kingdom,United Kingdom
SmartStore,Drugs and Chemicals,Benzos,,Benzos,Ksalol (Xanax Alprazolam/Galenika) 15 tabs x 1 mg,18.16,Bulgaria,"Europe, Oceania"
mdacanada,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,hydromorph contin capsule 20 x 3mg,164.49,Canada,Canada
DopamineDealer,Drugs and Chemicals,Benzos,Powder,Powder,500mg FluAlprazolam Powder,308.30,Australia,Australia
tig3r,Drugs and Chemicals,,,Drugs and Chemicals,3.5g Bubblegum Kush (UK-UK) non-tracked,46.58,United Kingdom,United Kingdom
EUROSHOPPER,Drugs and Chemicals,Psychedelics,2C-B,2C-B,3000x 2C-B - RED NASA ROCKET 26MG,541.13,Germany,Europe
auspride,Drugs and Chemicals,Stimulants,Speed,Speed,Direct Turkish Import Old School Speed Base - 2kg,310.39,Australia,Australia
ProfessorsEmporium,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,Mushroom Micro-dose Clarity,1.50,United States,United States
LucySkyDiamonds,Drugs and Chemicals,Psychedelics,LSD,LSD,10 crying bug LSD tab 510ug  (for experts only),120.05,United Kingdom,Worldwide
C00KIE88,Drugs and Chemicals,Psychedelics,DMT,DMT,2g Changa / Xanga 50% DMT **UK-UK**,91.74,United Kingdom,United Kingdom
METHBUSTERS,Drugs and Chemicals,Ecstasy,MDMA,MDMA,50G ★ CHAMPAGNE MDMA CRYSTALS ★ VERY POTENT,339.07,Germany,Europe
theworldisyours6,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,"7,5g Pure Bolivian Cocaine! Best on Darknet",725.37,Spain,Worldwide
thesubguy,Drugs and Chemicals,,,Drugs and Chemicals,65G BALI KRATOM [3:30PM Cut off],77.08,Australia,Australia
STIMZ,Drugs and Chemicals,Stimulants,Meth,Meth,STIMZ MEPHEDRONE 14G,189.13,United Kingdom,United Kingdom
AlphaGear,Drugs and Chemicals,Steroids,,Steroids,REAL N95 Hospital Face MASKS ( certified by FDA),25.00,United States,United States
BigPenis,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Cialis Generic - 30 tab - EU free shipping!,78.71,Germany,Europe
mollymob,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,2 grams of Colombian Cocaine - Uncut,145.32,Netherlands,Worldwide
superweedsonic,Drugs and Chemicals,Benzos,Pills,Pills,RIVOTRIL Full LEGIT ROCHE Pharma 2 MG Pills x 400,532.83,Austria,Worldwide
bighorndodge,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,28 Grams Pure Cocaine Right Off The Brick,700.00,United States,United States
METHBUSTERS,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,10GR ★ COCAINE FISHSCALE COLUMBIAN ★EXTREME POTENT,666.03,Germany,Europe
2GD4DN,Drugs and Chemicals,Psychedelics,LSD,LSD,2gd4dn promo 200ug mayan lsd! 20x lsd tab 45€,54.49,Netherlands,Worldwide
pluguk,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,++ RICK SIMPSON 14g (((£135 special offer ))) ++,190.54,United Kingdom,Worldwide
CannabisGurus,Drugs and Chemicals,,,Drugs and Chemicals,AK 47 AAA+ QUALITY 5GR ( OUTDOOR ),54.49,,Europe
DeutscherHanfverband,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,5g Blueberry A+++ 20% Thc,84.46,Germany,Germany
PilotElon,Drugs and Chemicals,,,Drugs and Chemicals,Youtube Membership Carding Method 2021,1.99,,
Licensedbud,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,AAA+ SALE * BLACK NUKEN BC-GROWN 14g $110,110.00,,Worldwide
trina,Drugs and Chemicals,Ecstasy,MDMA,MDMA,1 gram MDMA,65.00,United States,United States
PianoKeyz,Drugs and Chemicals,Ecstasy,,Ecstasy,X100 PARTYPAK Blue Dolphins 100mg,250.00,United States,United States
selaminy,Drugs and Chemicals,Benzos,Powder,Powder,Etizolam Powder 100 mg,33.00,United States,North America
ukcartel1,Drugs and Chemicals,Ecstasy,Pills,Pills,20x Griffin Hexagon MDMA pills 250+MG,105.86,United Kingdom,United Kingdom
TopShellNL,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,5g Ketamine S-isomer 87% (FREE WW SHIP),108.99,Netherlands,Worldwide
RoyalMailer,Drugs and Chemicals,Ecstasy,Pills,Pills,25x Blue Punisher XTC 270mg IMPORT - UK,155.26,United Kingdom,United Kingdom
C00KIE88,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,1G SOFT MOROCCAN HASH LOKA STAMP **UK-UK**,12.70,United Kingdom,United Kingdom
Remedyplus,Drugs and Chemicals,,,Drugs and Chemicals,SOMA 350mg X 30 Pills USA TO USA DOMESTIC $90,90.00,United States,United States
maurelius,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,3 ml Cannabis oil (RSO) 84£,118.56,United Kingdom,Europe
topmoneymaker,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,*A++ Grade * 1 OZ (28G) Live Resin Budder,490.00,United States,United States
pepsihabit,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,28G Lindsay OG Live Resin - Premium Extracts,550.00,Canada,Worldwide
2GD4DN,Drugs and Chemicals,,,Drugs and Chemicals,Strong ♦ HQ ♦ 10x 200ug Mayan Calendar ♦ Free Ship,60.55,Netherlands,Worldwide
bestgroup,Drugs and Chemicals,Steroids,,Steroids,"LETROZOL 2,5 MG/ML 100 ML MONSTERLAB",49.99,,Worldwide
inc,Drugs and Chemicals,Opiates,Heroin,Heroin,HEROIN 0.5G - AFGHAN #3 DOUBLE KOI STAMP - INC.,158.00,Australia,Australia
MisterX,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,50GR x KETAMINE S-ISOMER NEEDLE TYPE x HIGHQUALITY,775.02,Germany,Europe
sthompson,Drugs and Chemicals,Stimulants,Speed,Speed,STHOMPSON-10G-SUPER SALE-SPEED PASTE,60.55,Germany,Worldwide
MisterX,Drugs and Chemicals,Stimulants,Meth,Meth,1GR x CRYSTAL METH ICE x HIGH QUALITY x 25EU P/G,30.27,Germany,Europe
ckakokingz,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,100g Colombia Cocaine95% COCAINE AAA+++,500.00,United States,Worldwide
xXDrugz4GermanyXx,Drugs and Chemicals,,,Drugs and Chemicals,2g Very High Potent Turkish Heroin #4,108.99,Germany,Worldwide
spaindutch,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,200g Ketamine Crystal Needles 99% Pure S Isomer,421.93,Spain,Worldwide
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,10x Mango Haze THC Vape Juice 10ml - UK,345.80,United Kingdom,Worldwide
budreaper,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,14g Cali Kush,165.71,Australia,Australia
sinsemillastreet,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,28g Dry Sift Hash  indica or sativa (el chapo),281.66,Spain,Europe
DutchGlory,Drugs and Chemicals,Opiates,Heroin,Heroin,★ 2 GR  ★Turkish Heroin ★( #4 ) - ★Free Shipping ★,66.60,Netherlands,Worldwide
4Score,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Gelat. OG (gelato x OG Kush SFV) INDOOR A+,45.00,United States,United States
ScotchAndCoca,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,25 gram Ketamine sugar (87%),434.74,Netherlands,Worldwide
Pharma_UK,Drugs and Chemicals,Benzos,Pills,Pills,Kern Diazepam 10mg X 120 Tabs,81.86,United Kingdom,Europe
DR420,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Purple Punch Outdoor 28G ***FREE SHIPPING***,60.00,United States,United States
inc,Drugs and Chemicals,Ecstasy,MDMA,MDMA,MDMA 1G - GREEN UK IMPORT - INC.,84.78,Australia,Australia
icywhitenorth,Drugs and Chemicals,Opiates,Heroin,Heroin,0.5G Pure Heroin #4 Warning level X uncut product,98.70,Canada,Canada
tig3r,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,56g S-Isomer KETAMINE SHARDS (UK-WW) tracked,995.04,United Kingdom,Worldwide
GoodFellaz,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,0.2g 89% Pure Premium Cocaine Coke Quality AAA,28.23,United Kingdom,United Kingdom
upsworldwide,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Viagra 100mg 50tabs,42.34,United Kingdom,Worldwide
UKgradeAproducts,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,5g - Dried Amanita Muscaria ( Fly Agaric ),28.23,United Kingdom,Worldwide
MadeInFrance,Drugs and Chemicals,Stimulants,,Stimulants,Ritalin 30 x 40 mg LP/SR,435.95,France,Worldwide
snowwhite38,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,5g ★|| bis HAZE BEST HQ COFFESHOP A++||★,66.60,Germany,Germany
Bundesliga,Drugs and Chemicals,Psychedelics,2C-B,2C-B,🏆 25x // PREMIUM 2CB NASA ROCKETS 25MG,54.49,Germany,Europe
TheBodyShop,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,PREGABALIN lyrica 300 mg 480 tabs (UK to UK),399.00,United Kingdom,United Kingdom
letsgetbaked,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Master Kush euphoria indica strain,14.82,United Kingdom,"United Kingdom, United States"
topmoneymaker,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,*BEST GRADE* 1 OZ (28G) Sherbert NUG RUN Budder,320.00,United States,United States
EUROSHOPPER,Drugs and Chemicals,Ecstasy,,Ecstasy,1000x XTC - GREY NINTENDO - 220MG MDMA,477.38,Germany,Europe
WizardryGoodies,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,x100 500mg Distillate Made Mars Bar Edibles,093.84,United Kingdom,United Kingdom
powsub000,Drugs and Chemicals,Opiates,Buprenorphine,Buprenorphine,10 SUBUTEX PILLS 8mg BUPRENORPHINE 0N BLISTER,115.04,France,Worldwide
Malavitoso,Drugs and Chemicals,Benzos,,Benzos,30ml Bottles of 1 mg per ml Flualp Solution,125.00,United States,United States
greenhorse,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,CALI GUSHERS NO BAGS 3.5G,70.57,United Kingdom,United Kingdom
DutchGlory,Drugs and Chemicals,Opiates,Heroin,Heroin,★ 3 GR  ★Turkish Heroin ★( #4 ) - ★Free Shipping ★,102.93,Netherlands,Worldwide
auspride,Drugs and Chemicals,Stimulants,Speed,Speed,Direct Turkish Import Old School Speed Base - 2kg,310.39,Australia,Australia
kdw247,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,★★★*NEW* 25g CARAMEL DREAM 23% THC ++HQ++★★★,236.14,Germany,Europe
roadrunna,Drugs and Chemicals,Stimulants,Meth,Meth,3.5g | CANADIAN CRYSTAL METH [+0.50g Bonus],123.37,Canada,Canada
CocoParis,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1G COCAINE 98 % QUALITY AAAA++++ SENT -6H 72 EUR,87.19,France,France
CanadianSmoker12,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,1OZ EXOTIC Sherbert RUN BADDER,560.00,United States,North America
mas220,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,INTRO DEAL 56g Golden Teacher (Powder Shrooms),150.00,Canada,Worldwide
faroutbless,Drugs and Chemicals,Ecstasy,MDMA,MDMA,MDMA - 3.5G - Fire and tested - Limited supply,90.00,United States,North America
pepsihabit,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,7G Comatose Honeycomb Crumble - Premium Extracts,145.00,Canada,Worldwide
hollandgottalent,Drugs and Chemicals,Ecstasy,MDMA,MDMA,10 GRAM MDMA *HollandGotTalent*,72.66,Germany,Worldwide
drkend,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,BUY HIGH PURITY BOLIVIAN COCAINE onli (100g),000.00,Canada,Worldwide
MedicalCenter,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,"Blueberry Haze High Quality A+++ 2,5 G",39.96,Germany,Europe
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,250g - Ghost OG HQ NDD UK2UK,399.40,United Kingdom,United Kingdom
inc,Drugs and Chemicals,Stimulants,Meth,Meth,METH 0.25G - BLUE MEXICAN IMPORT - INC.,96.34,Australia,Australia
DabAllDay710,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,2OZ (56G) PENIS ENVY MUSHROOMS,225.00,United States,United States
Pharma_UK,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Azithromycin (Antibiotics) 250mg X 4 Tabs,35.29,United Kingdom,Europe
Coffeshop,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,100 GRAM BUDGET WEED*** amnesia  Haze quality Weed,478.33,Germany,Worldwide
dankservices,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,1 Gram of CRC Sugar Wax,24.99,United States,Worldwide
PitStopUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,7g Rainbow Haze AAAA++ - UK,105.86,United Kingdom,United Kingdom
PremierLeagueWorldWide,Drugs and Chemicals,Ecstasy,MDMA,MDMA,28Grams Mdma Crystal TRACK EXTRA DECOY,529.28,United Kingdom,Worldwide
GoodFellaz,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,3.5g Premium Top Quality Hash Creme de la Creme,49.40,United Kingdom,United Kingdom
ScotchAndCoca,Drugs and Chemicals,Psychedelics,2C-B,2C-B,25 gram pure 2C-B powder,451.95,Netherlands,Worldwide
ElizabethQueen2,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,7g Dust Shake *** ElizabethQueen2** Fire Quality,28.23,United Kingdom,United Kingdom
MrImpossible,Drugs and Chemicals,Psychedelics,LSD,LSD,250 x 150ug Wizard LSD,541.50,Australia,Australia
AlwaysOverweight,Drugs and Chemicals,Ecstasy,MDMA,MDMA,14g MDMA | NL Champagne Enhanced Sensations ★94%★,259.08,Canada,Canada
reddingtonn,Drugs and Chemicals,Psychedelics,LSD,LSD,LSD 180 UG  (5tabs),24.22,Netherlands,Worldwide
RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,250g - Golden Pineapple HQ NDD UK2UK,940.69,United Kingdom,United Kingdom
PitStopUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1g Skywalker OG AAA++ - UK,16.94,United Kingdom,United Kingdom
caut2tuff,Drugs and Chemicals,Opiates,Heroin,Heroin,7.0G PK HEROIN (RM SPECIAL DELIVERY),366.97,United Kingdom,United Kingdom
Hofmanncrew,Drugs and Chemicals,Psychedelics,LSD,LSD,[PROMO] EU-WW 85x 200ug THE HOLY FAMILY,144.09,Netherlands,Worldwide
DoctorXXL,Drugs and Chemicals,Opiates,Heroin,Heroin,Heroin Pure AAA+ Afghan *4 Gram* Top Quality!,203.44,Germany,Worldwide
themushrooman,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,14g Magic Mushrooms - Powdered Psilocybe Cubensis,169.57,Australia,Australia
NarcoticsWorldwide,Drugs and Chemicals,Stimulants,Meth,Meth,1 GRAM || CRYSTAL METH ICE || 99% EPHEDRINE,42.38,Germany,Worldwide
High00,Drugs and Chemicals,Stimulants,Adderal,Adderal,Adderall 30mg Caps - 100X ($7.50/pill!). STRONGEST,750.00,United States,United States
SunshineShop,Drugs and Chemicals,Psychedelics,LSD,LSD,300x 200ug Drops White Fluff 98% LSD-25,871.90,Germany,Worldwide
NExpress,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,KOKAIN | 5 gram.,720.47,Norway,Norway
BestBudz,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,AMNESIA HAZE 5gr  - BIO PREMIUM WEED (SELFMADE ),78.71,Germany,Germany
TopShellNL,Drugs and Chemicals,Stimulants,,Stimulants,50g 3-MMC 3MMC Methaphedrone (FREE WW SHIP),411.73,Netherlands,Worldwide
KeepTheDopeAlive,Drugs and Chemicals,,,Drugs and Chemicals,UNCUT Peruvian FISHSCALE COKE (7g),575.00,United States,United States
ActiveJ,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,★ 6G COLOMBIAN COKE ★ | FREE UK-UK NEXT D,522.22,United Kingdom,United Kingdom
himalayanblues,Drugs and Chemicals,Psychedelics,LSD,LSD,1 tab of Needle Point LSD dosed at 100 ug 99% pure,10.00,,Worldwide
SpaceInvaders,Drugs and Chemicals,Stimulants,Speed,Speed,SPEED PASTA 78%  250GRAMS,248.25,Netherlands,Worldwide
ChuckNorrisTeam,Drugs and Chemicals,Benzos,Pills,Pills,100Pills Xanax 2mg,112.91,United Kingdom,Worldwide
superdrugs,Drugs and Chemicals,Stimulants,,Stimulants,2G  AMPHETAMINE SPEED HQ £10,14.11,United Kingdom,Worldwide
mowglinl,Drugs and Chemicals,Opiates,Heroin,Heroin,50 gr super pure afghan heroin,089.87,Netherlands,Worldwide
icywhitenorth,Drugs and Chemicals,Stimulants,Meth,Meth,1 GR Fire EUPHORIC CRYSTAL METH  Pure Clean,41.12,Canada,Canada
MrTea420,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,★1g Green Gelato (25% THC)★,13.32,Germany,Europe
Venture,Drugs and Chemicals,Ecstasy,Pills,Pills,15st 🔥 Phillip Plein (xtc) Pills 250mg 🔥,48.44,Netherlands,Worldwide
selaminy,Drugs and Chemicals,Benzos,Pills,Pills,B707 Xanax bars (Blues) - 500 Bars,325.00,United States,North America
DutchPharmacy,Drugs and Chemicals,Ecstasy,,Ecstasy,5 x cloverleaf xtc 240mg mdma,20.59,Germany,Worldwide
El-Chapo,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,14g Of Mimosa A+++  AUSTRALIAN IMPORT FREE NDD UK,169.37,United Kingdom,United Kingdom
dankservices,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,0.25 Gram of Blonde Dry Sift Hash,5.99,United States,Worldwide
drugshub,Drugs and Chemicals,Ecstasy,Pills,Pills,5000x XTC Pills  High Quality DUTCH crafted,480.58,Netherlands,Worldwide
Narco24,Drugs and Chemicals,Ecstasy,Pills,Pills,5x XTC Skittles 220 mg,9.08,Germany,Europe
Germanapotheke,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Wochenangebot 25gr Kush AAA+++,250.67,Germany,Europe
ASAPRockyMDMA,Drugs and Chemicals,Ecstasy,MDMA,MDMA,50 x MDMA capsules 230 mg 83% pure,135.00,Netherlands,Worldwide
El-Chapo,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,10ml   Rainbow Candy THC VAPE JUICE - FREE NDD UK,65.63,United Kingdom,United Kingdom
tig3r,Drugs and Chemicals,,,Drugs and Chemicals,7 g Girl Scout Cookies (UK-UK) non-tracked,88.92,United Kingdom,United Kingdom
AmsterdamNL,Drugs and Chemicals,Stimulants,Meth,Meth,🇩🇪 50GR ★★ CRYSTAL METH SHARDS - ICE ★★,332.06,Germany,Europe
SocialPharma1,Drugs and Chemicals,Benzos,,Benzos,TEMAZEPAM-CT 20MG EGGS 20Capsules,70.57,United Kingdom,Europe
AddamsFamily,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,"(PROMOTION) 2,2gr berber polm premium (thc 22%)",30.88,France,France
drkend,Drugs and Chemicals,Opiates,,Opiates,Buy U48800 Online (5 KG ),000.00,China,Worldwide
expresspass,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,10 x Oxycodone 30mg: A215s and M30s 246,246.00,United States,Worldwide
HulkGod,Drugs and Chemicals,Benzos,Pills,Pills,S903 Xanax Hulks 4MG Alprazolam x 500,275.00,United States,United States
PremierLeagueWorldWide,Drugs and Chemicals,Ecstasy,MDMA,MDMA,500Grams Mdma Crystal TRACK EXTRA DECOY,055.64,United Kingdom,Worldwide
mushmedic,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,Magic Mushrooms 6g Powdered,39.96,Canada,Worldwide
mdacanada,Drugs and Chemicals,Stimulants,Meth,Meth,100g  crystal meth 100% pure Xpress Post Free,233.71,Canada,Canada
sadat,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,★ Big Promo 50% OFF ★ 3gr Wax / Live Rosin 80% THC,89.61,Spain,Europe
PaulWalker1973,Drugs and Chemicals,Stimulants,Speed,Speed,Speed Paste Amphetamine -25grams- 74%,42.38,Germany,Worldwide
DopeMastersNL,Drugs and Chemicals,,,Drugs and Chemicals,Top Grade Dutch Pills 220 MG 5 P,48.44,Switzerland,Worldwide
XanaxInternational,Drugs and Chemicals,Benzos,,Benzos,ALPRAZOLAM POWDER X10 GRAMS 100% PURITY(USA - USA),800.00,United States,United States
loveloyalty,Drugs and Chemicals,Stimulants,Speed,Speed,100 GRAM CLASSIC CHERRY SPEED PASTA 74 %,127.15,Germany,Europe
hollandgottalent,Drugs and Chemicals,Ecstasy,MDMA,MDMA,50 GRAM MDMA *HollandGotTalent*,363.29,Germany,Worldwide
JanesAddiction,Drugs and Chemicals,Ecstasy,MDMA,MDMA,1g MDMA - Pure Purple Dutch Moonrock,100.00,United States,United States
kamagra4bitcoin,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,"Super Kamagra 100 mg x 100 pills, 25 blisters box",163.48,,"Europe, United States"
SpaceInvaders,Drugs and Chemicals,,,Drugs and Chemicals,DUTCH SPEED PASTA PURE 50GRAMS,121.10,Netherlands,Worldwide
cadillacblack,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,28g High Quality Cocaine,400.00,United States,United States
SpaceInvaders,Drugs and Chemicals,,,Drugs and Chemicals,DUTCH SPEED PASTA PURE 100GRAMS,217.97,Netherlands,Worldwide
major2minor,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,14G COCAINE CALI BATCH,345.00,United States,United States
TheodorMorell,Drugs and Chemicals,Opiates,Heroin,Heroin,1GR High Quality AFGHAN Heroine #2 75%,19.38,Netherlands,Worldwide
mdacanada,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,oxycodone  2 x 80mg APO.100% from pharmacy.,131.60,Canada,Canada
cerberusuk,Drugs and Chemicals,,,Drugs and Chemicals,Sandoz Zopiclone 7.5mg x 30,43.00,United Kingdom,Worldwide
Only4U,Drugs and Chemicals,Stimulants,Speed,Speed,100g Speed Amphetamin Paste AAA+ HQ,242.19,Germany,Germany
roadrunna,Drugs and Chemicals,Psychedelics,2C-B,2C-B,1.75g | 2C-B  [+0.25g Bonus],189.17,Canada,Canada
NightlifeKings,Drugs and Chemicals,Stimulants,Speed,Speed,5 Grams PURE Amphetamine Speed Paste,42.38,Germany,Worldwide
MaxundMoritz,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Haze No.1Top Qualität 50g,454.11,Germany,Worldwide
ubercocaine,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,(3.5 gram) - HIGH PURITY SOCIABLE COCAINE,221.59,United Kingdom,Worldwide
PartyPacks,Drugs and Chemicals,Benzos,Pills,Pills,Alprazolam xanax blotter 1.2mg x100 tabs #Wonka!,55.00,United States,United States
Utopia,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,24 TRIPLE CHOC CHIP COOKIES - THC INFUSED,107.91,Australia,Australia
TheBodyShop,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,ARMODAFINIL waklert 150mg 50 tabs,32.00,India,Worldwide
mythbusters,Drugs and Chemicals,Ecstasy,Pills,Pills,1.000x XTC: MY BRAND 270mg,150.42,Germany,Worldwide
RockStarPIILSNL,Drugs and Chemicals,,,Drugs and Chemicals,10x audi rs 230/240mg from the netherlands,19.98,Netherlands,Europe
