vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to
SteroidWarehouse,Drugs and Chemicals,Steroids,,Steroids,Deca Durabolin-200 mg/ml/10ml- Balkan- exp.11/2022,84.77,Netherlands,Worldwide
CaliCannabisCo,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,2oz JackHerer-HighGrade-Greenhouse-FREEESHIPPING,200.00,United States,United States
SmartStore,Drugs and Chemicals,Accessories,,Accessories,Taser + Flashlight,54.49,China,Worldwide
RoyalMailer,Drugs and Chemicals,Psychedelics,LSD,LSD,1x LSD 250ug IMPORT AAA++ - UK,12.42,United Kingdom,United Kingdom
California420Service,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,BUBBA KUSH AAA Cannabis HP 224G,350.00,United States,Worldwide
DutchGlory,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,(1G) - Colombian Cocaine *Pure/Uncut*,66.60,Netherlands,Worldwide
ukcartel1,Drugs and Chemicals,Psychedelics,LSD,LSD,3.5g MDMA Highest Quality Import,84.68,United Kingdom,United Kingdom
mollymob,Drugs and Chemicals,Ecstasy,Pills,Pills,10 pieces of XTC Pills - Givenchy 260mg MDMA,36.33,Netherlands,Worldwide
NextLevel,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,3 Gram S-Isomer Ketamine 99% Purity - Worldwide!,66.60,Netherlands,Worldwide
PitStopUK,Drugs and Chemicals,Psychedelics,LSD,LSD,3x LSD 250UG IMPORT AAA+ - UK STOCK,35.29,United Kingdom,United Kingdom
DrugzFromNL,Drugs and Chemicals,Opiates,Heroin,Heroin,2gr GOOD Quality Heroin #3  60-70%,38.00,Netherlands,Worldwide
